팩토링ID,채권ID,법인명,고객ID,통화,팩토링사,팩토링실행일,팩토링금액,수수료율,실수령액,상환유형
FT0001,AR0001,미국법인,OC001,USD,신한팩토링,2025-06-17,15153.61,0.0411,14530.8,소구
FT0002,AR0001,미국법인,OC001,USD,IBK기업은행,2025-06-27,10345.89,0.0216,10122.42,소구
FT0003,AR0004,미국법인,OC001,USD,BNP Paribas Factor,2025-03-31,67496.46,0.0252,65795.55,비소구
FT0004,AR0006,미국법인,OC001,USD,신한팩토링,2025-04-18,36541.29,0.0212,35766.61,비소구
FT0005,AR0007,미국법인,OC001,USD,IBK기업은행,2025-07-01,18247.11,0.0255,17781.81,비소구
FT0006,AR0009,미국법인,OC001,USD,우리은행 무역금융,2025-08-09,55296.89,0.0374,53228.79,소구
FT0007,AR0010,미국법인,OC001,USD,우리은행 무역금융,2025-07-02,87935.3,0.0228,85930.38,비소구
FT0008,AR0011,미국법인,OC001,USD,우리은행 무역금융,2025-06-22,77458.97,0.0165,76180.9,소구
FT0009,AR0012,미국법인,OC001,USD,HSBC Trade Finance,2025-02-11,86138.96,0.0448,82279.93,비소구
FT0010,AR0014,싱가포르법인,OC002,SGD,우리은행 무역금융,2025-02-02,60735.05,0.0179,59647.89,비소구
FT0011,AR0015,싱가포르법인,OC002,SGD,HSBC Trade Finance,2025-08-23,68071.75,0.0336,65784.54,비소구
FT0012,AR0017,싱가포르법인,OC002,SGD,신한팩토링,2025-06-24,65035.67,0.0194,63773.98,소구
FT0013,AR0018,싱가포르법인,OC002,SGD,BNP Paribas Factor,2025-06-09,2739.57,0.0234,2675.46,소구
FT0014,AR0018,싱가포르법인,OC002,SGD,HSBC Trade Finance,2025-06-15,2266.91,0.0364,2184.39,소구
FT0015,AR0019,싱가포르법인,OC002,SGD,우리은행 무역금융,2025-05-21,71555.91,0.024,69838.57,소구
FT0016,AR0021,싱가포르법인,OC002,SGD,HSBC Trade Finance,2025-02-06,32193.57,0.0354,31053.92,비소구
FT0017,AR0021,싱가포르법인,OC002,SGD,우리은행 무역금융,2025-02-14,25125.05,0.0164,24713.0,소구
FT0018,AR0024,싱가포르법인,OC002,SGD,우리은행 무역금융,2025-01-09,20536.84,0.0414,19686.61,비소구
FT0019,AR0026,싱가포르법인,OC003,SGD,신한팩토링,2025-05-12,26947.94,0.0315,26099.08,소구
FT0020,AR0027,싱가포르법인,OC003,SGD,BNP Paribas Factor,2025-02-13,17937.89,0.0221,17541.46,소구
FT0021,AR0028,싱가포르법인,OC003,SGD,BNP Paribas Factor,2025-03-26,11589.19,0.0207,11349.29,소구
FT0022,AR0032,싱가포르법인,OC003,SGD,우리은행 무역금융,2025-07-12,64839.96,0.0296,62920.7,소구
FT0023,AR0033,싱가포르법인,OC003,SGD,우리은행 무역금융,2025-03-27,3408.18,0.0439,3258.56,비소구
FT0024,AR0035,중국법인,OC004,CNY,BNP Paribas Factor,2025-06-18,751567.21,0.0445,718122.47,소구
FT0025,AR0039,중국법인,OC004,CNY,신한팩토링,2025-08-02,2037053.7,0.0199,1996516.33,비소구
FT0026,AR0040,중국법인,OC004,CNY,신한팩토링,2025-07-21,754529.73,0.0332,729479.34,비소구
FT0027,AR0042,중국법인,OC004,CNY,BNP Paribas Factor,2025-01-20,643614.55,0.0164,633059.27,소구
FT0028,AR0042,중국법인,OC004,CNY,우리은행 무역금융,2025-01-20,231088.61,0.0331,223439.58,소구
FT0029,AR0043,중국법인,OC004,CNY,우리은행 무역금융,2025-08-09,2213731.66,0.0214,2166357.8,비소구
FT0030,AR0044,중국법인,OC004,CNY,IBK기업은행,2025-05-27,1812266.78,0.0362,1746662.72,소구
FT0031,AR0046,중국법인,OC004,CNY,IBK기업은행,2025-04-30,68564.56,0.0297,66528.19,소구
FT0032,AR0047,중국법인,OC004,CNY,우리은행 무역금융,2025-03-01,324782.13,0.0351,313382.28,비소구
FT0033,AR0049,중국법인,OC005,CNY,BNP Paribas Factor,2025-03-24,1013675.71,0.0213,992084.42,비소구
FT0034,AR0049,중국법인,OC005,CNY,BNP Paribas Factor,2025-03-22,1003438.25,0.0444,958885.59,소구
FT0035,AR0050,중국법인,OC005,CNY,IBK기업은행,2025-08-08,1429249.98,0.0282,1388945.13,비소구
FT0036,AR0051,중국법인,OC005,CNY,신한팩토링,2025-01-24,460242.5,0.0167,452556.45,비소구
