회수ID,채권ID,법인명,고객ID,회수일자,회수금액,통화
RC0001,AR0003,미국법인,OC001,2025-04-21,50892.62,USD
RC0002,AR0003,미국법인,OC001,2025-06-22,50892.62,USD
RC0003,AR0004,미국법인,OC001,2025-06-30,19221.62,USD
RC0004,AR0004,미국법인,OC001,2025-05-24,19221.63,USD
RC0005,AR0006,미국법인,OC001,2025-06-30,22499.68,USD
RC0006,AR0006,미국법인,OC001,2025-05-23,22499.68,USD
RC0007,AR0010,미국법인,OC001,2025-06-30,54433.98,USD
RC0008,AR0010,미국법인,OC001,2025-06-30,54433.99,USD
RC0009,AR0011,미국법인,OC001,2025-06-30,96620.99,USD
RC0010,AR0012,미국법인,OC001,2025-03-29,111221.68,USD
RC0011,AR0014,싱가포르법인,OC002,2025-06-30,16741.93,SGD
RC0012,AR0014,싱가포르법인,OC002,2025-06-30,16741.93,SGD
RC0013,AR0016,싱가포르법인,OC002,2025-05-08,17590.91,SGD
RC0014,AR0017,싱가포르법인,OC002,2025-06-30,52691.88,SGD
RC0015,AR0018,싱가포르법인,OC002,2025-06-30,4179.86,SGD
RC0016,AR0019,싱가포르법인,OC002,2025-06-30,42846.18,SGD
RC0017,AR0019,싱가포르법인,OC002,2025-06-30,42846.18,SGD
RC0018,AR0020,싱가포르법인,OC002,2025-06-30,84651.2,SGD
RC0019,AR0021,싱가포르법인,OC002,2025-03-20,77999.72,SGD
RC0020,AR0022,싱가포르법인,OC002,2025-06-30,112343.07,SGD
RC0021,AR0023,싱가포르법인,OC002,2025-06-30,31269.12,SGD
RC0022,AR0023,싱가포르법인,OC002,2025-06-30,31269.12,SGD
RC0023,AR0024,싱가포르법인,OC002,2025-02-21,20345.44,SGD
RC0024,AR0024,싱가포르법인,OC002,2025-04-09,20345.43,SGD
RC0025,AR0025,싱가포르법인,OC003,2025-06-22,26675.01,SGD
RC0026,AR0025,싱가포르법인,OC003,2025-05-06,26675.01,SGD
RC0027,AR0026,싱가포르법인,OC003,2025-06-30,22241.85,SGD
RC0028,AR0027,싱가포르법인,OC003,2025-04-19,9266.14,SGD
RC0029,AR0027,싱가포르법인,OC003,2025-04-11,9266.14,SGD
RC0030,AR0028,싱가포르법인,OC003,2025-04-05,19062.65,SGD
RC0031,AR0029,싱가포르법인,OC003,2025-06-30,55109.59,SGD
RC0032,AR0030,싱가포르법인,OC003,2025-06-19,44467.94,SGD
RC0033,AR0030,싱가포르법인,OC003,2025-06-30,44467.94,SGD
RC0034,AR0031,싱가포르법인,OC003,2025-06-30,10947.34,SGD
RC0035,AR0032,싱가포르법인,OC003,2025-06-30,45131.68,SGD
RC0036,AR0032,싱가포르법인,OC003,2025-06-30,45131.67,SGD
RC0037,AR0035,중국법인,OC004,2025-06-30,1486916.0,CNY
RC0038,AR0036,중국법인,OC004,2025-06-30,1692130.0,CNY
RC0039,AR0037,중국법인,OC004,2025-06-30,343896.5,CNY
RC0040,AR0037,중국법인,OC004,2025-06-30,343896.5,CNY
RC0041,AR0038,중국법인,OC004,2025-06-30,718299.75,CNY
RC0042,AR0038,중국법인,OC004,2025-06-30,718299.75,CNY
RC0043,AR0039,중국법인,OC004,2025-06-30,2851278.0,CNY
RC0044,AR0041,중국법인,OC004,2025-06-30,1077991.0,CNY
RC0045,AR0041,중국법인,OC004,2025-05-11,1077991.0,CNY
RC0046,AR0042,중국법인,OC004,2025-05-26,664212.5,CNY
RC0047,AR0043,중국법인,OC004,2025-06-30,701453.75,CNY
RC0048,AR0043,중국법인,OC004,2025-06-30,701453.75,CNY
RC0049,AR0044,중국법인,OC004,2025-06-30,2926746.0,CNY
RC0050,AR0047,중국법인,OC004,2025-06-13,374962.0,CNY
RC0051,AR0048,중국법인,OC005,2025-05-03,263506.0,CNY
RC0052,AR0049,중국법인,OC005,2025-03-29,2895516.0,CNY
RC0053,AR0050,중국법인,OC005,2025-06-30,1096019.0,CNY
RC0054,AR0051,중국법인,OC005,2025-05-22,694863.0,CNY
RC0055,AR0055,중국법인,OC005,2025-03-18,459452.0,CNY
